"","minima_day_1986","minima_day_1987","minima_day_1988","minima_day_1989","minima_day_1990","minima_day_1991","minima_day_1992","minima_day_1993","minima_day_1994","minima_day_1995","minima_day_1996","minima_day_1997","minima_day_1998","minima_day_1999","minima_day_2000","minima_day_2001","minima_day_2002","minima_day_2003","minima_day_2004","minima_day_2005","minima_day_2006","minima_day_2007","minima_day_2008","minima_day_2009","minima_day_2010","minima_day_2011","minima_day_2012","minima_day_2013","minima_day_2014","minima_day_2015","minima_day_2016","minima_day_2017","minima_day_2018","minima_day_2019","minima_day_2020","minima_day_2021","minima_day_2022","minima_day_2023","minima_day_2024","minima_day_2025","cluster_col_data"
"A053074001 OBENHEIM-ALTWEIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,180,249,163,NA,NA,NA,NA,NA,NA,NA,1
"A041030101 BALTZENHEIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"K134181001 RIGNY/ARROUX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,271,277,199,NA,238,188,NA,NA,NA,176,287,250,249,318,254,NA,1
"K177301001 VERNEUIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,207,237,203,188,238,220,232,191,210,235,181,207,NA,161,2
"K649251001 SELLES ST ANDRE [HS]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,171,NA,NA,124,104,116,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"K650091001 CHÂTILLON-SUR-CHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,164,148,163,NA,NA,NA,NA,NA,NA,176,NA,NA,151,176,NA,NA,1
"K671091001 TOURS [PONT SAINT SAUVEUR]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,143,229,172,221,164,235,NA,174,155,260,207,210,165,183,NA,180,NA,NA,NA,1
"K091001010 VILLEREST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,213,274,240,218,161,229,213,253,273,236,250,254,226,NA,1
"K209081001 SAINT HAON ( NOUVEAU MONDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,210,289,171,NA,281,NA,NA,207,NA,NA,1
"K055001010 BAS EN BASSET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,147,201,193,NA,NA,NA,105,159,185,235,NA,1
"K230081001 LANGEAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,182,187,NA,177,185,NA,NA,152,200,186,147,1
"K549090001 VIERZON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,305,242,147,153,144,158,254,NA,27,155,214,262,170,240,322,257,NA,192,NA,3
"K633252001 BRINON-SUR-SAULDRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,248,161,159,293,193,240,282,181,300,26,NA,268,281,119,NA,257,318,122,2
"K091001011 VILLEREST (PONT DE VILLEREST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,213,247,273,218,161,NA,277,233,273,236,250,270,228,NA,1
"K565301001 ORMEDIOT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,NA,NA,NA,NA,164,296,281,NA,NA,174,173,305,NA,3
"M107302001 CONIE-MOLITARD [PONT DE BLEUET]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,165,NA,167,176,138,166,145,209,186,166,131,NA,154,NA,NA,131,167,162,178,140,126,174,124,137,191,NA,1
"K441409001 MEUNG-SUR-LOIRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,159,166,156,153,168,165,187,149,NA,124,166,133,156,124,181,97,NA,2
"K485300001 NAZELLES-NÉGRON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,157,NA,149,194,183,159,167,201,196,206,177,217,269,145,NA,164,299,181,NA,NA,268,NA,2
"K659302001 MEUSNES [GUÉ AU LOUP]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,NA,230,338,152,231,189,249,168,NA,205,124,154,173,269,206,NA,NA,NA,NA,220,NA,3
"K622091003 SELLES-SUR-CHER - PONT D956A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,207,NA,NA,NA,NA,NA,167,NA,NA,1
"K648251001 PRUNIERS-EN-SOLOGNE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,206,NA,NA,NA,167,NA,NA,1
