,bv,elev,qrefetiage,qix2,xlambert,ylambert,start_day_2015,start_day_2016,start_day_2017,start_day_2018,start_day_2019,start_day_2020,start_day_2021,start_day_2022,start_day_2023,start_day_2024,start_day_2025,end_day_2015,end_day_2016,end_day_2017,end_day_2018,end_day_2019,end_day_2020,end_day_2021,end_day_2022,end_day_2023,end_day_2024,end_day_2025,duration_2015,duration_2016,duration_2017,duration_2018,duration_2019,duration_2020,duration_2021,duration_2022,duration_2023,duration_2024,duration_2025,minima_day_2015,minima_day_2016,minima_day_2017,minima_day_2018,minima_day_2019,minima_day_2020,minima_day_2021,minima_day_2022,minima_day_2023,minima_day_2024,minima_day_2025,minima_value_2015,minima_value_2016,minima_value_2017,minima_value_2018,minima_value_2019,minima_value_2020,minima_value_2021,minima_value_2022,minima_value_2023,minima_value_2024,minima_value_2025,integral_norm_year_2015,integral_norm_year_2016,integral_norm_year_2017,integral_norm_year_2018,integral_norm_year_2019,integral_norm_year_2020,integral_norm_year_2021,integral_norm_year_2022,integral_norm_year_2023,integral_norm_year_2024,integral_norm_year_2025
A053074001 OBENHEIM-ALTWEIL,46,155,NA,NA,1046901.99973569,6817864.00444796,152,153,91,121,NA,NA,NA,NA,NA,NA,NA,274,275,274,274,NA,NA,NA,NA,NA,NA,NA,122,122,183,153,NA,NA,NA,NA,NA,NA,NA,209,180,249,163,NA,NA,NA,NA,NA,NA,NA,-50,-140,-125,-130,NA,NA,NA,NA,NA,NA,NA,6333120,6342690,11486000,6609600,NA,NA,NA,NA,NA,NA,NA
K134181001 RIGNY/ARROUX,2277,237,1.22,248,779282.999940687,6604359.00452706,135,NA,NA,NA,82,228,197,25,102,177,NA,335,NA,NA,NA,289,323,331,275,365,279,NA,200,NA,NA,NA,207,95,134,250,263,102,NA,188,NA,NA,NA,176,287,250,249,318,254,NA,-186,NA,NA,NA,-83,-55,-165,-180,-250,-54,NA,8941920,NA,NA,NA,10452400,5173560,7599230,13206300,12762100,4137820,NA
K177301001 VERNEUIL,1465,196,1.13,186,743874.999967046,6639242.00451887,127,207,80,165,115,151,200,46,1,NA,100,334,274,294,267,260,277,314,361,345,NA,365,207,67,214,102,145,126,114,315,344,NA,265,188,238,220,232,191,210,235,181,207,NA,161,-80,-99,-126,-101,-75,-107,-143,-147,-154,NA,-110,10273800,3071380,9053420,6129900,6465180,7701210,6684140,10487700,13021600,NA,16271800
K650091001 CHÂTILLON-SUR-CHER,11540,69.47,7.49,398,585701.000086222,6686643.0045027,NA,NA,NA,NA,135,NA,NA,91,90,NA,NA,NA,NA,NA,NA,297,NA,NA,230,199,NA,NA,NA,NA,NA,NA,162,NA,NA,139,109,NA,NA,NA,NA,NA,NA,176,NA,NA,151,176,NA,NA,NA,NA,NA,NA,-44,NA,NA,-141,-216,NA,NA,NA,NA,NA,NA,7491740,NA,NA,7669410,1544080,NA,NA
K671091001 TOURS [PONT SAINT SAUVEUR],13615,42.54,9.19,421,524804.000132304,6699550.00449788,91,235,145,152,80,106,NA,60,NA,NA,NA,281,332,298,292,289,258,NA,277,NA,NA,NA,190,97,153,140,209,152,NA,217,NA,NA,NA,155,260,207,210,165,183,NA,180,NA,NA,NA,-170,-65,-240,-95,-195,-105,NA,-274,NA,NA,NA,9466340,6450090,6867900,7514530,7521230,6842060,NA,9596640,NA,NA,NA
K091001010 VILLEREST,6603,268.51,12.9,593,780634.999940118,6545178.00453779,173,103,166,165,176,101,218,167,158,198,NA,307,161,327,254,328,350,363,319,339,249,NA,134,58,161,89,152,249,145,152,181,51,NA,218,161,229,213,253,273,236,250,254,226,NA,-100,-270,-40,-25,-55,-52,-35,-55,-180,-90,NA,6749390,1850030,8926210,5933680,8139860,13069400,8350990,7715400,7242170,3420800,NA
K209081001 SAINT HAON ( NOUVEAU MONDE,517,733.32,3.2,200,758740.512644203,6415787.56820456,90,166,158,82,NA,267,NA,NA,145,NA,NA,264,293,313,313,NA,355,NA,NA,320,NA,NA,174,127,155,231,NA,88,NA,NA,175,NA,NA,174,210,289,171,NA,281,NA,NA,207,NA,NA,-65,-20,-25,-50,NA,-20,NA,NA,-45,NA,NA,8411090,6956950,8671030,11073100,NA,5496740,NA,NA,5672000,NA,NA
K055001010 BAS EN BASSET,3257,442,5.2,580,787629.999935642,6466828.00454519,102,159,129,NA,NA,NA,77,47,81,183,NA,218,301,250,NA,NA,NA,203,201,254,291,NA,116,142,121,NA,NA,NA,126,154,173,108,NA,147,201,193,NA,NA,NA,105,159,185,235,NA,-50,-40,-20,NA,NA,NA,-20,-90,-25,-15,NA,6534020,5421250,4999370,NA,NA,NA,8184370,5398740,8392790,7219680,NA
K230081001 LANGEAC,1804,486.82,7.2,280,738573.999971757,6446518.00454622,140,140,NA,131,99,NA,NA,14,173,153,120,258,307,NA,269,246,NA,NA,207,244,243,365,118,167,NA,138,147,NA,NA,193,71,90,245,182,187,NA,177,185,NA,NA,152,200,186,147,-20,-50,NA,-55,-45,NA,NA,-60,-27,-54,-30,5427900,6168510,NA,6127980,6027360,NA,NA,8705840,2391760,5024490,12107200
K549090001 VIERZON,4550,96.55,3.05,204,629289.00005331,6680004.00450508,20,122,139,193,144,205,195,205,NA,106,NA,31,293,364,339,363,274,343,317,NA,209,NA,11,171,225,146,219,69,148,112,NA,103,NA,27,155,214,262,170,240,322,257,NA,192,NA,-135,-810,-57,-65,-111,-77,-82,-32,NA,-43,NA,391867,1417280,12882700,8237400,9333870,3182260,6057040,7191460,NA,4680870,NA
