"","start_day_2015","start_day_2016","start_day_2017","start_day_2018","start_day_2019","start_day_2020","end_day_2015","end_day_2016","end_day_2017","end_day_2018","end_day_2019","end_day_2020","duration_2015","duration_2016","duration_2017","duration_2018","duration_2019","duration_2020","minima_day_2015","minima_day_2016","minima_day_2017","minima_day_2018","minima_day_2019","minima_day_2020"
"K177301001 VERNEUIL",127,207,80,165,115,151,334,274,294,267,260,277,207,67,214,102,145,126,188,238,220,232,191,210
"K671091001 TOURS [PONT SAINT SAUVEUR]",91,235,145,152,80,106,281,332,298,292,289,258,190,97,153,140,209,152,155,260,207,210,165,183
"K091001010 VILLEREST",173,103,166,165,176,101,307,161,327,254,328,350,134,58,161,89,152,249,218,161,229,213,253,273
"K549090001 VIERZON",20,122,139,193,144,205,31,293,364,339,363,274,11,171,225,146,219,69,27,155,214,262,170,240
"M107302001 CONIE-MOLITARD [PONT DE BLEUET]",65,61,69,67,52,46,274,365,219,314,267,232,209,304,150,247,215,186,131,167,162,178,140,126
"K722261011 BUZANÇAIS - PONT VOIE FERRÉE",121,160,74,111,57,75,250,297,365,293,265,259,129,137,291,182,208,184,180,192,140,150,92,168
"A820101001 JARNY [LABRY]",133,179,91,136,94,122,324,330,318,337,294,217,191,151,227,201,200,95,231,243,207,163,268,168
"A994202001 FILSTROFF",79,172,123,108,92,134,324,328,331,337,346,351,245,156,208,229,254,217,208,231,255,200,218,231
"A840101001 MOYEUVRE-GRANDE",97,179,91,164,156,122,324,366,318,337,294,306,227,187,227,173,138,184,204,186,235,255,239,239
"A807101001 BONCOURT",133,210,102,190,156,122,231,330,318,337,294,282,98,120,216,147,138,160,203,308,158,290,268,259
"A436203001 CHENIMÉNIL",132,164,71,67,107,92,324,336,305,337,324,357,192,172,234,270,217,265,168,202,172,171,163,176
"A758102001 MOYENVIC",79,106,109,157,86,134,287,181,365,337,276,336,208,75,256,180,190,202,187,157,166,282,177,188
"A986201001 VARIZE",151,189,151,173,149,183,313,328,276,331,282,281,162,139,125,158,133,98,252,307,235,200,218,252
"A782101001 NOMENY",142,181,136,100,86,134,324,315,365,337,294,336,182,134,229,237,208,202,262,245,193,157,177,162
"A983201001 FAULQUEMONT",79,167,95,131,92,134,324,328,331,309,346,330,245,161,236,178,254,196,208,279,235,156,235,281
"A973121001 ANCERVILLE",79,172,123,108,92,134,324,328,331,337,346,330,245,156,208,229,254,196,208,231,173,200,249,183
