"","bv","elev","qrefetiage","qix2","start_day_2015","start_day_2016","start_day_2017","start_day_2018","start_day_2019","start_day_2020","start_day_2021","start_day_2022","start_day_2023","start_day_2024","start_day_2025","end_day_2015","end_day_2016","end_day_2017","end_day_2018","end_day_2019","end_day_2020","end_day_2021","end_day_2022","end_day_2023","end_day_2024","end_day_2025","duration_2015","duration_2016","duration_2017","duration_2018","duration_2019","duration_2020","duration_2021","duration_2022","duration_2023","duration_2024","duration_2025","minima_day_2015","minima_day_2016","minima_day_2017","minima_day_2018","minima_day_2019","minima_day_2020","minima_day_2021","minima_day_2022","minima_day_2023","minima_day_2024","minima_day_2025","minima_value_2015","minima_value_2016","minima_value_2017","minima_value_2018","minima_value_2019","minima_value_2020","minima_value_2021","minima_value_2022","minima_value_2023","minima_value_2024","minima_value_2025","integral_norm_year_2015","integral_norm_year_2016","integral_norm_year_2017","integral_norm_year_2018","integral_norm_year_2019","integral_norm_year_2020","integral_norm_year_2021","integral_norm_year_2022","integral_norm_year_2023","integral_norm_year_2024","integral_norm_year_2025"
"A053074001 OBENHEIM-ALTWEIL",46,155,NA,NA,"152","153","91","121","","","","","","","","274","275","274","274","","","","","","","","122","122","183","153","","","","","","","","209","180","249","163","","","","","","","","-50","-140","-125","-130","","","","","","","","6.33312e+06","6.34269e+06","1.1486e+07","6.6096e+06","","","","","","",""
"K134181001 RIGNY/ARROUX",2277,237,1.22,248,"135","","","","82","228","197","25","102","177","","335","","","","289","323","331","275","365","279","","200","","","","207","95","134","250","263","102","","188","","","","176","287","250","249","318","254","","-186","","","","-83","-55","-165","-180","-250","-54","","8.94192e+06","","","","1.04524e+07","5.17356e+06","7.59923e+06","1.32063e+07","1.27621e+07","4.13782e+06",""
"K177301001 VERNEUIL",1465,196,1.13,186,"127","207","80","165","115","151","200","46","1","","100","334","274","294","267","260","277","314","361","345","","365","207","67","214","102","145","126","114","315","344","","265","188","238","220","232","191","210","235","181","207","","161","-80","-99","-126","-101","-75","-107","-143","-147","-154","","-110","1.02738e+07","3.07138e+06","9.05342e+06","6.1299e+06","6.46518e+06","7.70121e+06","6.68414e+06","1.04877e+07","1.30216e+07","","1.62718e+07"
"K650091001 CHÂTILLON-SUR-CHER",11540,69.47,7.49,398,"","","","","135","","","91","90","","","","","","","297","","","230","199","","","","","","","162","","","139","109","","","","","","","176","","","151","176","","","","","","","-44","","","-141","-216","","","","","","","7.49174e+06","","","7.66941e+06","1.54408e+06","",""
"K671091001 TOURS [PONT SAINT SAUVEUR]",13615,42.54,9.19,421,"91","235","145","152","80","106","","60","","","","281","332","298","292","289","258","","277","","","","190","97","153","140","209","152","","217","","","","155","260","207","210","165","183","","180","","","","-170","-65","-240","-95","-195","-105","","-274","","","","9.46634e+06","6.45009e+06","6.8679e+06","7.51453e+06","7.52123e+06","6.84206e+06","","9.59664e+06","","",""
"K091001010 VILLEREST",6603,268.51,12.9,593,"173","103","166","165","176","101","218","167","158","198","","307","161","327","254","328","350","363","319","339","249","","134","58","161","89","152","249","145","152","181","51","","218","161","229","213","253","273","236","250","254","226","","-100","-270","-40","-25","-55","-52","-35","-55","-180","-90","","6.74939e+06","1.85003e+06","8.92621e+06","5.93368e+06","8.13986e+06","1.30694e+07","8.35099e+06","7.7154e+06","7.24217e+06","3.4208e+06",""
"K209081001 SAINT HAON ( NOUVEAU MONDE",517,733.32,3.2,200,"90","166","158","82","","267","","","145","","","264","293","313","313","","355","","","320","","","174","127","155","231","","88","","","175","","","174","210","289","171","","281","","","207","","","-65","-20","-25","-50","","-20","","","-45","","","8.41109e+06","6.95695e+06","8.67103e+06","1.10731e+07","","5.49674e+06","","","5.672e+06","",""
"K055001010 BAS EN BASSET",3257,442,5.2,580,"102","159","129","","","","77","47","81","183","","218","301","250","","","","203","201","254","291","","116","142","121","","","","126","154","173","108","","147","201","193","","","","105","159","185","235","","-50","-40","-20","","","","-20","-90","-25","-15","","6.53402e+06","5.42125e+06","4.99937e+06","","","","8.18437e+06","5.39874e+06","8.39279e+06","7.21968e+06",""
"K230081001 LANGEAC",1804,486.82,7.2,280,"140","140","","131","99","","","14","173","153","120","258","307","","269","246","","","207","244","243","365","118","167","","138","147","","","193","71","90","245","182","187","","177","185","","","152","200","186","147","-20","-50","","-55","-45","","","-60","-27","-54","-30","5.4279e+06","6.16851e+06","","6.12798e+06","6.02736e+06","","","8.70584e+06","2.39176e+06","5.02449e+06","1.21072e+07"
"K549090001 VIERZON",4550,96.55,3.05,204,"20","122","139","193","144","205","195","205","","106","","31","293","364","339","363","274","343","317","","209","","11","171","225","146","219","69","148","112","","103","","27","155","214","262","170","240","322","257","","192","","-135","-810","-57","-65","-111","-77","-82","-32","","-43","","391867","1.41728e+06","1.28827e+07","8.2374e+06","9.33387e+06","3.18226e+06","6.05704e+06","7.19146e+06","","4.68087e+06",""
