"","start_day_2015","end_day_2015","duration_2015","minima_day_2015","minima_value_2015","minima_norm_all_2015","integral_2015","integral_norm_year_2015","integral_norm_all_2015","start_day_2016","end_day_2016","duration_2016","minima_day_2016","minima_value_2016","minima_norm_all_2016","integral_2016","integral_norm_year_2016","integral_norm_all_2016","start_day_2017","end_day_2017","duration_2017","minima_day_2017","minima_value_2017","minima_norm_all_2017","integral_2017","integral_norm_year_2017","integral_norm_all_2017","start_day_2018","end_day_2018","duration_2018","minima_day_2018","minima_value_2018","minima_norm_all_2018","integral_2018","integral_norm_year_2018","integral_norm_all_2018","start_day_2019","end_day_2019","duration_2019","minima_day_2019","minima_value_2019","minima_norm_all_2019","integral_2019","integral_norm_year_2019","integral_norm_all_2019","start_day_2020","end_day_2020","duration_2020","minima_day_2020","minima_value_2020","minima_norm_all_2020","integral_2020","integral_norm_year_2020","integral_norm_all_2020","start_day_2021","end_day_2021","duration_2021","minima_day_2021","minima_value_2021","minima_norm_all_2021","integral_2021","integral_norm_year_2021","integral_norm_all_2021","start_day_2022","end_day_2022","duration_2022","minima_day_2022","minima_value_2022","minima_norm_all_2022","integral_2022","integral_norm_year_2022","integral_norm_all_2022","start_day_2023","end_day_2023","duration_2023","minima_day_2023","minima_value_2023","minima_norm_all_2023","integral_2023","integral_norm_year_2023","integral_norm_all_2023","start_day_2024","end_day_2024","duration_2024","minima_day_2024","minima_value_2024","minima_norm_all_2024","integral_2024","integral_norm_year_2024","integral_norm_all_2024","start_day_2025","end_day_2025","duration_2025","minima_day_2025","minima_value_2025","minima_norm_all_2025","integral_2025","integral_norm_year_2025","integral_norm_all_2025","start_day _ 2015","end_day _ 2015","duration _ 2015","minima_day _ 2015","minima_value _ 2015","minima_norm_all _ 2015","integral _ 2015","integral_norm_year _ 2015","integral_norm_all _ 2015","start_day _ 2016","end_day _ 2016","duration _ 2016","minima_day _ 2016","minima_value _ 2016","minima_norm_all _ 2016","integral _ 2016","integral_norm_year _ 2016","integral_norm_all _ 2016","start_day _ 2017","end_day _ 2017","duration _ 2017","minima_day _ 2017","minima_value _ 2017","minima_norm_all _ 2017","integral _ 2017","integral_norm_year _ 2017","integral_norm_all _ 2017","start_day _ 2018","end_day _ 2018","duration _ 2018","minima_day _ 2018","minima_value _ 2018","minima_norm_all _ 2018","integral _ 2018","integral_norm_year _ 2018","integral_norm_all _ 2018","start_day _ 2019","end_day _ 2019","duration _ 2019","minima_day _ 2019","minima_value _ 2019","minima_norm_all _ 2019","integral _ 2019","integral_norm_year _ 2019","integral_norm_all _ 2019","start_day _ 2020","end_day _ 2020","duration _ 2020","minima_day _ 2020","minima_value _ 2020","minima_norm_all _ 2020","integral _ 2020","integral_norm_year _ 2020","integral_norm_all _ 2020","start_day _ 2021","end_day _ 2021","duration _ 2021","minima_day _ 2021","minima_value _ 2021","minima_norm_all _ 2021","integral _ 2021","integral_norm_year _ 2021","integral_norm_all _ 2021","start_day _ 2022","end_day _ 2022","duration _ 2022","minima_day _ 2022","minima_value _ 2022","minima_norm_all _ 2022","integral _ 2022","integral_norm_year _ 2022","integral_norm_all _ 2022","start_day _ 2023","end_day _ 2023","duration _ 2023","minima_day _ 2023","minima_value _ 2023","minima_norm_all _ 2023","integral _ 2023","integral_norm_year _ 2023","integral_norm_all _ 2023","start_day _ 2024","end_day _ 2024","duration _ 2024","minima_day _ 2024","minima_value _ 2024","minima_norm_all _ 2024","integral _ 2024","integral_norm_year _ 2024","integral_norm_all _ 2024","start_day _ 2025","end_day _ 2025","duration _ 2025","minima_day _ 2025","minima_value _ 2025","minima_norm_all _ 2025","integral _ 2025","integral_norm_year _ 2025","integral_norm_all _ 2025"
"A053074001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,274,122,209,-50,0.36697247706422,-316656000,6333120,2324080.73394495,153,275,122,180,-140,1.02752293577982,-887976000,6342685.71428571,6517255.04587156,91,274,183,249,-125,0.917431192660551,-1435752000,11486016,10537629.3577982,121,274,153,163,-130,0.954128440366973,-859248000,6609600,6306407.33944954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K134181001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,335,200,188,-186,0.882562277580071,-1663196301.96872,8941915.60198238,7891797.39961434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,289,207,176,-83,0.393831553973903,-867550862.533442,10452420.0305234,4116492.82340898,228,323,95,287,-55,0.260972716488731,-284545620.228817,5173556.73143304,1350157.15411064,197,331,134,250,-165,0.782918149466192,-1253872598.31691,7599227.86858731,5949573.42024629,25,275,250,249,-180,0.854092526690391,-2377139511.5309,13206330.6196161,11279428.2872166,102,365,263,318,-250,1.18623962040332,-3190516429.77335,12762065.7190934,15138867.9941796,177,279,102,254,-54,0.256227758007117,-223442356.116431,4137821.40956353,1060224.70280631,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K177301001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,334,207,188,-80,0.558269364968597,-821905530.818888,10273819.1352361,5735558.48443048,207,274,67,238,-99,0.690858339148639,-304066692.947455,3071380.73684298,2121888.99474847,80,294,214,220,-126,0.879274249825541,-1140730507.67091,9053416.7275469,7960436.2014718,165,267,102,232,-101,0.704815073272854,-619120167.063392,6129902.644192,4320447.78132165,115,260,145,191,-75,0.52337752965806,-484888344.114147,6465177.92152197,3383728.849366,151,277,126,210,-107,0.746685275645499,-824029256.937821,7701208.00876468,5750378.62482778,200,314,114,235,-143,0.997906489881368,-955831968.193853,6684139.63771925,6670146.32375334,46,361,315,181,-147,1.0258199581298,-1541695252.88448,10487722.808738,10758515.3725365,1,345,344,207,-154,1.07466852756455,-2005333558.12768,13021646.4813486,13993953.650577,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,365,265,161,-110,0.767620376831821,-1789902782.6087,16271843.4782609,12490598.622531
"K650091001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,297,162,176,-44,0.254519161243673,-329636772.020748,7491744.81865336,1906792.60749529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,230,139,151,-141,0.815618221258134,-1081386658.18595,7669408.92330461,6255309.66412697,90,199,109,176,-216,1.24945770065076,-333520489.549638,1544076.34050758,1929258.07403985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K671091001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,281,190,155,-170,0.626093361568916,-1609278598.56231,9466344.69742536,5926815.57338113,235,332,97,260,-65,0.239388638246939,-419256000,6450092.30769231,1544078.81410552,145,298,153,207,-240,0.883896510450235,-1648296000,6867900,6070512.84412117,152,292,140,210,-95,0.349875702053218,-713880000,7514526.31578947,2629150.17033422,80,289,209,165,-195,0.718165914740816,-1466640000,7521230.76923077,5401491.57536139,106,258,152,183,-105,0.386704723321978,-718416000,6842057.14285714,2645855.81438173,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,277,217,180,-274,1.00911518276402,-2629480349.4878,9596643.61126933,9684118.7717072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K091001010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,307,134,218,-100,0.555555555555556,-674939172.412019,6749391.7241202,3749662.06895566,103,161,58,161,-270,1.5,-499508455.099077,1850031.31518177,2775046.97277265,166,327,161,229,-40,0.222222222222222,-357048433.974433,8926210.84936082,1983602.41096907,165,254,89,213,-25,0.138888888888889,-148342009.046866,5933680.36187463,824122.272482587,176,328,152,253,-55,0.305555555555556,-447692554.047137,8139864.61903885,2487180.85581743,101,350,249,273,-52,0.288888888888889,-679611125.430692,13069444.719821,3775617.36350385,218,363,145,236,-35,0.194444444444444,-292284674.180195,8350990.69086272,1623803.74544553,167,319,152,250,-55,0.305555555555556,-424347162.402057,7715402.95276466,2357484.23556698,158,339,181,254,-180,1,-1303590629.2338,7242170.16240998,7242170.16240998,198,249,51,226,-90,0.5,-307871673.669065,3420796.37410072,1710398.18705036,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K209081001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,264,174,174,-65,1.3,-546720764.223976,8411088.68036886,10934415.2844795,166,293,127,210,-20,0.4,-139139037.126894,6956951.8563447,2782780.74253788,158,313,155,289,-25,0.5,-216775782.551108,8671031.30204432,4335515.65102216,82,313,231,171,-50,1,-553655935.231486,11073118.7046297,11073118.7046297,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,355,88,281,-20,0.4,-109934814.572859,5496740.72864297,2198696.29145719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,320,175,207,-45,0.9,-255240215.036478,5672004.77858841,5104804.30072957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K055001010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,218,116,147,-50,0.548245614035088,-326700948.237505,6534018.96475011,3582247.23944633,159,301,142,201,-40,0.43859649122807,-216849818.970794,5421245.47426986,2377739.24310082,129,250,121,193,-20,0.219298245614035,-99987411.6524458,4999370.58262229,1096353.19794348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,203,126,105,-20,0.219298245614035,-163687422.778094,8184371.13890472,1794818.23221595,47,201,154,159,-90,0.986842105263158,-485886884.59601,5398743.16217789,5327707.06793871,81,254,173,185,-25,0.274122807017544,-209819762.633735,8392790.50534939,2300655.29203657,183,291,108,235,-15,0.164473684210526,-108295167.635909,7219677.84239396,1187447.01355164,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K230081001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,258,118,182,-20,0.350109409190372,-108557998.083201,5427899.90416004,1900358.82858995,140,307,167,187,-50,0.87527352297593,-308425462.473965,6168509.24947931,5399132.82230136,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,269,138,177,-55,0.962800875273523,-337039079.706354,6127983.26738825,5900027.65350291,99,246,147,185,-45,0.787746170678337,-271231347.990626,6027363.28868057,4748032.3499453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,207,193,152,-60,1.05032822757112,-522350544.372192,8705842.4062032,9143992.02402087,173,244,71,200,-27,0.472647702407002,-64577410.0361007,2391755.92726299,1130457.94373918,153,243,90,186,-54,0.945295404814004,-271322565.654868,5024491.95657162,4749629.15807208,120,365,245,147,-30,0.525164113785558,-363214724.670225,12107157.4890075,6358244.63317681
"K549090001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,31,11,27,-135,0.338388269206668,-52901997.346683,391866.647012466,132603.076442369,122,293,171,155,-810,2.03032961524001,-1147997184.86454,1417280.47514141,2877546.52178103,139,364,225,214,-57,0.142875046998371,-734314187.47858,12882705.0434839,1840617.08855391,193,339,146,262,-65,0.162927685173581,-535431076.760412,8237401.18092942,1342100.70625495,144,363,219,170,-111,0.278230354681038,-1036059307.99587,9333867.6396024,2596965.30391244,205,274,69,240,-77,0.193006642436396,-245034083.071569,3182260.81911128,614197.476053562,195,343,148,322,-82,0.205539541295902,-496677559.96668,6057043.41422781,1244961.92496975,205,317,112,257,-32,0.0802105527008397,-230126763.297222,7191461.3530382,576831.089853922,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,209,103,192,-43,0.107782930191753,-201277440.102337,4680870.70005436,504517.959900582,NA,NA,NA,NA,NA,NA,NA,NA,NA
