Unnamed: 0 (2),codehydro,nom,courdo,mnemo,comment,codesitehydro3,Site,Name_station,Geometry,File_location,Commentaire,start_day_2015,end_day_2015,duration_2015,minima_day_2015,minima_value_2015,minima_norm_all_2015,integral_2015,integral_norm_year_2015,integral_norm_all_2015,start_day_2016,end_day_2016,duration_2016,minima_day_2016,minima_value_2016,minima_norm_all_2016,integral_2016,integral_norm_year_2016,integral_norm_all_2016,start_day_2017,end_day_2017,duration_2017,minima_day_2017,minima_value_2017,minima_norm_all_2017,integral_2017,integral_norm_year_2017,integral_norm_all_2017,start_day_2018,end_day_2018,duration_2018,minima_day_2018,minima_value_2018,minima_norm_all_2018,integral_2018,integral_norm_year_2018,integral_norm_all_2018,start_day_2019,end_day_2019,duration_2019,minima_day_2019,minima_value_2019,minima_norm_all_2019,integral_2019,integral_norm_year_2019,integral_norm_all_2019,start_day_2020,end_day_2020,duration_2020,minima_day_2020,minima_value_2020,minima_norm_all_2020,integral_2020,integral_norm_year_2020,integral_norm_all_2020,start_day_2021,end_day_2021,duration_2021,minima_day_2021,minima_value_2021,minima_norm_all_2021,integral_2021,integral_norm_year_2021,integral_norm_all_2021,start_day_2022,end_day_2022,duration_2022,minima_day_2022,minima_value_2022,minima_norm_all_2022,integral_2022,integral_norm_year_2022,integral_norm_all_2022,start_day_2023,end_day_2023,duration_2023,minima_day_2023,minima_value_2023,minima_norm_all_2023,integral_2023,integral_norm_year_2023,integral_norm_all_2023,start_day_2024,end_day_2024,duration_2024,minima_day_2024,minima_value_2024,minima_norm_all_2024,integral_2024,integral_norm_year_2024,integral_norm_all_2024,start_day_2025,end_day_2025,duration_2025,minima_day_2025,minima_value_2025,minima_norm_all_2025,integral_2025,integral_norm_year_2025,integral_norm_all_2025,start_day _ 2015,end_day _ 2015,duration _ 2015,minima_day _ 2015,minima_value _ 2015,minima_norm_all _ 2015,integral _ 2015,integral_norm_year _ 2015,integral_norm_all _ 2015,start_day _ 2016,end_day _ 2016,duration _ 2016,minima_day _ 2016,minima_value _ 2016,minima_norm_all _ 2016,integral _ 2016,integral_norm_year _ 2016,integral_norm_all _ 2016,start_day _ 2017,end_day _ 2017,duration _ 2017,minima_day _ 2017,minima_value _ 2017,minima_norm_all _ 2017,integral _ 2017,integral_norm_year _ 2017,integral_norm_all _ 2017,start_day _ 2018,end_day _ 2018,duration _ 2018,minima_day _ 2018,minima_value _ 2018,minima_norm_all _ 2018,integral _ 2018,integral_norm_year _ 2018,integral_norm_all _ 2018,start_day _ 2019,end_day _ 2019,duration _ 2019,minima_day _ 2019,minima_value _ 2019,minima_norm_all _ 2019,integral _ 2019,integral_norm_year _ 2019,integral_norm_all _ 2019,start_day _ 2020,end_day _ 2020,duration _ 2020,minima_day _ 2020,minima_value _ 2020,minima_norm_all _ 2020,integral _ 2020,integral_norm_year _ 2020,integral_norm_all _ 2020,start_day _ 2021,end_day _ 2021,duration _ 2021,minima_day _ 2021,minima_value _ 2021,minima_norm_all _ 2021,integral _ 2021,integral_norm_year _ 2021,integral_norm_all _ 2021,start_day _ 2022,end_day _ 2022,duration _ 2022,minima_day _ 2022,minima_value _ 2022,minima_norm_all _ 2022,integral _ 2022,integral_norm_year _ 2022,integral_norm_all _ 2022,start_day _ 2023,end_day _ 2023,duration _ 2023,minima_day _ 2023,minima_value _ 2023,minima_norm_all _ 2023,integral _ 2023,integral_norm_year _ 2023,integral_norm_all _ 2023,start_day _ 2024,end_day _ 2024,duration _ 2024,minima_day _ 2024,minima_value _ 2024,minima_norm_all _ 2024,integral _ 2024,integral_norm_year _ 2024,integral_norm_all _ 2024,start_day _ 2025,end_day _ 2025,duration _ 2025,minima_day _ 2025,minima_value _ 2025,minima_norm_all _ 2025,integral _ 2025,integral_norm_year _ 2025,integral_norm_all _ 2025,Unnamed: 0 (1),nosta,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,datemaj,typemes,cotedebordement,coteseuil,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,synchronisation,region,Unnamed: 0,Surface_bv..km..,Altitude..m.,en_service,Start.Year,End.Year,X..of.data.points,X..of.positive.points,average.of.data.points,X..of.singular.years,condition,over_15points,over_2years,negative_average,no_postive_points,Surface_bv..km...1,Altitude..m..1,Start.Year.1,End.Year.1,X..of.data.points.1,X..of.positive.points.1,average.of.data.points.1,X..of.singular.years.1
string,string,string,string,string,string,string,string,string,string,string,string,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,continuous,continuous,continuous,continuous,continuous,continuous,time,continuous,continuous,continuous,AUTREY BEGNECOURT BLAMONT BOURGES BRINON-SUR-SAULDRE BUZANCAIS CONIE-MOLITARD MEUNG\ SUR\ LOIRE MEUSNES NAZELLES-NEGRON PRUNIERS-EN-SOLOGNE SELLES/CHER VIERZON,continuous,continuous,time,time,continuous,67 68 Loire Moselle Sarre,continuous,continuous,continuous,False True,continuous,continuous,continuous,continuous,continuous,continuous,False True,False True,False True,False True,False True,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A053074001,A0530750,OBENHEIM-ALTWEIL,ALTWEIL,A0530750,"





Station de mesures installée le 06 Mai 2004.
Lieu: en aval du pont de la D468 (entre Obenheim et Gerstheim) sur l'Altweil, en rive droite.
Cabine GROLLEAU N°313A11TM045 du 01/12/2003.
Monopheme N°
Marque : ALCYR, Christian BURGER;  18, allée des Fauvettes, 92 160 ANTHONY/ Tel: 01 40 96 91 21 fax: 01 40 96 91 24
Fabricant : ELECTOSTRUCTURE; 14 rue de la Gare, 77 163 MORTCERF/ Tel: 01 64 65 26 13 Fax: 01 64 65 26 14


Sonde KELLER 2076 (0-4mA) 20m.
Echelle (1 m.) installée le 06 Mai 2004.

SECURITE:
Accès à la station:
La route est fréquentée, la prudence doit être redoublée au droit de la station pour se garer sur l'accotement .

Jaugeage au moulinet:
Hormis la descente du talus aucune difficulté particulière, la section est régulière.

Jaugeage au saumon:
Une grande prudence est nécessaire, car il y a empiètement sur la quasi moitié de la chausséeet la visibilité pour les véhicules venant de Gerstheim réduite à cet endroit.

Jaugeage  ADCP / STREAM PRO:
Réalisable.


RECOMMANDATIONS:
Jaugeage au MOULINET: Attention à la descente du talus: risque de glissade entrainant la chute dans la rivière.
Jaugeage au SAUMON  : Mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage ADCP           :  Revêtir les EPI.
                       
GP
",A0530740,A0530740,Le ruisseau la Weil à Obenheim,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [7.686749624765535, 48.368398319877045]}",Correction_data/A053074001.csv,Herbiers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,274,122,209,-50,0.366972,-3.16656e+08,6.33312e+06,2.32408e+06,153,275,122,180,-140,1.02752,-8.87976e+08,6.34269e+06,6.51726e+06,91,274,183,249,-125,0.917431,-1.43575e+09,1.1486e+07,1.05376e+07,121,274,153,163,-130,0.954128,-8.59248e+08,6.6096e+06,6.30641e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,123,996.202,2387.89,,,S,115680,,,,,,2005-08-10 00:00:00,0,,,,,,2016-02-04 14:00:00,?,,67,84,,,False,,,,,,,False,True,True,True,True,46,155,2015,2018,16,0,-0.04875,4
K134181001,K1341810,RIGNY/ARROUX,Arroux,K1341810,Mise à jour Débits caractéristiques le 15/04/2025,K1341810,K1341810,L'Arroux à Rigny-sur-Arroux,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.034500304479264, 46.53457399467951]}",Correction_data/K134181001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,335,200,188,-186,0.882562,-1.6632e+09,8.94192e+06,7.8918e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,289,207,176,-83,0.393832,-8.67551e+08,1.04524e+07,4.11649e+06,228,323,95,287,-55,0.260973,-2.84546e+08,5.17356e+06,1.35016e+06,197,331,134,250,-165,0.782918,-1.25387e+09,7.59923e+06,5.94957e+06,25,275,250,249,-180,0.854093,-2.37714e+09,1.32063e+07,1.12794e+07,102,365,263,318,-250,1.18624,-3.19052e+09,1.27621e+07,1.51389e+07,177,279,102,254,-54,0.256228,-2.23442e+08,4.13782e+06,1.06022e+06,,,,,,,,,,240,13,730160,2.17186e+06,,2277,S,430450,27.2,1.22,248,338,398,2000-12-26 00:00:00,0,,,,,,2025-04-15 16:01:00,?,1,Loire,10,2277,237,True,2009,2025,228,1,-0.0780526,16,False,True,True,True,False,,,,,,,,
K177301001,K1773010,VERNEUIL,Aron,K1773010, Mise à jour Débits caractéristiques le 16/04/2025,K1773010,K1773010,L'Aron à Verneuil,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.5758317416620073, 46.851901322242284]}",Correction_data/K177301001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,334,207,188,-80,0.558269,-8.21906e+08,1.02738e+07,5.73556e+06,207,274,67,238,-99,0.690858,-3.04067e+08,3.07138e+06,2.12189e+06,80,294,214,220,-126,0.879274,-1.14073e+09,9.05342e+06,7.96044e+06,165,267,102,232,-101,0.704815,-6.1912e+08,6.1299e+06,4.32045e+06,115,260,145,191,-75,0.523378,-4.84888e+08,6.46518e+06,3.38373e+06,151,277,126,210,-107,0.746685,-8.24029e+08,7.70121e+06,5.75038e+06,200,314,114,235,-143,0.997906,-9.55832e+08,6.68414e+06,6.67015e+06,46,361,315,181,-147,1.02582,-1.5417e+09,1.04877e+07,1.07585e+07,1,345,344,207,-154,1.07467,-2.00533e+09,1.30216e+07,1.3994e+07,,,,,,,,,,100,365,265,161,-110,0.76762,-1.7899e+09,1.62718e+07,1.24906e+07,241,14,694500,2.20652e+06,,1465,S,430450,17.5,1.13,186,236,269,2000-12-26 00:00:00,0,,,,,,2025-04-16 11:34:00,?,1,Loire,5,1465,196,True,2010,2025,142,0,-0.0607042,15,True,True,True,True,True,,,,,,,,
K650091001,K6500910,CHÂTILLON-SUR-CHER,Le Cher,K6500910,"Cette station est située sur la commune de Châtillon sur Cher (41) dans le bâtiment attenant à l'ancienne maison éclusière en aval de l'écluse direction Meusnes.
Contrôle: seuil naturel-Equipement : PLQ 2000- 9600BD Téléphone: 02.54.71.54.40
Temps de propagation moyen entre Selles-Thizardière et Chatillon -> 2h 

Mise à jour débits caractéristiques le 23/04/2025.
",K6500910,K6500910,Le Cher à Châtillon-sur-Cher,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.4881429107507063, 47.27025011995752]}",Correction_data/K650091001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,297,162,176,-44,0.254519,-3.29637e+08,7.49174e+06,1.90679e+06,,,,,,,,,,,,,,,,,,,91,230,139,151,-141,0.815618,-1.08139e+09,7.66941e+06,6.25531e+06,90,199,109,176,-216,1.24946,-3.3352e+08,1.54408e+06,1.92926e+06,,,,,,,,,,,,,,,,,,,253,33,585.686,6686.62,,11540,S,430450,71.9,7.49,398,555,658,2015-12-23 11:41:00,0,,,,,6947,2025-04-23 09:51:00,1993-01-01 00:00:00,1,Loire,2,11571,74,True,2009,2023,92,0,-0.0437717,7,True,True,True,True,True,,,,,,,,
K671091001,K6710910,TOURS [PONT SAINT SAUVEUR],Le Cher,K6710910,"Cette station est située sur la ville de Tours (31) au Pont St Sauveur, boulevard Louis XI,  qui relie Tours à Joué les Tours. 
Contrôle: Radier naturel.- Equipement : PLQ 2000- 2400 BD Téléphone: 02.47.37.97.04
La station peut être influençée par un ouvrage en aval. Au grands moulins de Ballan, une vanne régule la lame d'eau sur le déversoir. Mr Piaumier tél 02 47 53 00 15, employé du moulin, manoeuvre cette vanne deux par an. Il existe donc deux positions une, estivale et l'autre hivernale.
L'observation de l'environnement proche de la station laisse penser qu'une influence de la végétaion aquatique dans le lit sur les hauteurs enregistrées est possible.

Mise à jour débits caractéristiques le 23/04/2025.

",K6710910,K6710910,Le Cher à Tours - Pont Saint-Sauveur,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [0.6780092996072723, 47.373102769137724]}",Correction_data/K671091001.csv,Problèmes de vannages et de végétation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,281,190,155,-170,0.626093,-1.60928e+09,9.46634e+06,5.92682e+06,235,332,97,260,-65,0.239389,-4.19256e+08,6.45009e+06,1.54408e+06,145,298,153,207,-240,0.883897,-1.6483e+09,6.8679e+06,6.07051e+06,152,292,140,210,-95,0.349876,-7.1388e+08,7.51453e+06,2.62915e+06,80,289,209,165,-195,0.718166,-1.46664e+09,7.52123e+06,5.40149e+06,106,258,152,183,-105,0.386705,-7.18416e+08,6.84206e+06,2.64586e+06,,,,,,,,,,60,277,217,180,-274,1.00912,-2.62948e+09,9.59664e+06,9.68412e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,75,524.8,6699.49,,13615,S,430450,81.5,9.19,421,591,704,2015-12-23 11:41:00,0,,,,,4254,2025-04-23 09:53:00,?,1,Loire,83,,,True,,,,,,,True,True,True,True,True,13615,47,2006,2026,215,0,-0.112088,20
K091001010,K0910010,VILLEREST,LOIRE,K0910010,Mise à jour des débits caractéristiques le 02/05/2025,K0910010,K0910010,La Loire à Villerest - Aval,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.041950367623174, 46.00155002766155]}",Correction_data/K091001010.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,307,134,218,-100,0.555556,-6.74939e+08,6.74939e+06,3.74966e+06,103,161,58,161,-270,1.5,-4.99508e+08,1.85003e+06,2.77505e+06,166,327,161,229,-40,0.222222,-3.57048e+08,8.92621e+06,1.9836e+06,165,254,89,213,-25,0.138889,-1.48342e+08,5.93368e+06,824122,176,328,152,253,-55,0.305556,-4.47693e+08,8.13986e+06,2.48718e+06,101,350,249,273,-52,0.288889,-6.79611e+08,1.30694e+07,3.77562e+06,218,363,145,236,-35,0.194444,-2.92285e+08,8.35099e+06,1.6238e+06,167,319,152,250,-55,0.305556,-4.24347e+08,7.7154e+06,2.35748e+06,158,339,181,254,-180,1,-1.30359e+09,7.24217e+06,7.24217e+06,198,249,51,226,-90,0.5,-3.07872e+08,3.4208e+06,1.7104e+06,,,,,,,,,,284,103,780645,6.54525e+06,,6603,S,430450,65.5,12.9,593,940,1170,1997-11-14 00:00:00,0,,,,,26851,2025-05-02 15:31:00,?,,Loire,13,6585,275,True,2011,2026,184,4,-0.0408859,16,False,True,True,True,False,,,,,,,,
K209081001,K2090810,SAINT HAON ( NOUVEAU MONDE,ALLIER,K2090810,,K2090810,K2090810,L'Allier à Saint-Haon - Le Nouveau Monde,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.743315588813608, 44.83876568049644]}",Correction_data/K209081001.csv,Influencé par le barrage de Naussac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,264,174,174,-65,1.3,-5.46721e+08,8.41109e+06,1.09344e+07,166,293,127,210,-20,0.4,-1.39139e+08,6.95695e+06,2.78278e+06,158,313,155,289,-25,0.5,-2.16776e+08,8.67103e+06,4.33552e+06,82,313,231,171,-50,1,-5.53656e+08,1.10731e+07,1.10731e+07,,,,,,,,,,267,355,88,281,-20,0.4,-1.09935e+08,5.49674e+06,2.1987e+06,,,,,,,,,,,,,,,,,,,145,320,175,207,-45,0.9,-2.5524e+08,5.672e+06,5.1048e+06,,,,,,,,,,,,,,,,,,,286,106,758741,6.41579e+06,,517,S,430450,11.6,3.2,200,350,440,1997-11-14 00:00:00,0,,,,,73332,2015-12-17 14:11:00,?,,Loire,1,514,740,False,2015,2023,62,0,-0.0165645,9,False,True,True,True,True,,,,,,,,
K055001010,K0550010,BAS EN BASSET,LOIRE,K0550010,,K0550010,K0550010,La Loire à Bas-en-Basset,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.117993226005161, 45.295231597734904]}",Correction_data/K055001010.csv,Influencé par la gestion du barrage de Lavalette.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,218,116,147,-50,0.548246,-3.26701e+08,6.53402e+06,3.58225e+06,159,301,142,201,-40,0.438596,-2.1685e+08,5.42125e+06,2.37774e+06,129,250,121,193,-20,0.219298,-9.99874e+07,4.99937e+06,1.09635e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,203,126,105,-20,0.219298,-1.63687e+08,8.18437e+06,1.79482e+06,47,201,154,159,-90,0.986842,-4.85887e+08,5.39874e+06,5.32771e+06,81,254,173,185,-25,0.274123,-2.0982e+08,8.39279e+06,2.30066e+06,183,291,108,235,-15,0.164474,-1.08295e+08,7.21968e+06,1.18745e+06,,,,,,,,,,293,145,787596,6.4668e+06,,3257,S,430450,37.9,5.2,580,940,1200,1997-09-26 00:00:00,0,,,,,44200,2024-04-18 15:09:00,?,,Loire,19,3234,450,True,2014,2024,82,0,-0.0215122,10,True,True,True,True,True,,,,,,,,
