"","CdStationHydro","CdStationHydroAncienRef","LbStationHydro","TypStationHydro","DtMiseServiceStationHydro","DtFermetureStationHydro","ProjCoordStationHydro","CoordXStationHydro","CoordYStationHydro","NomIntervenant","LbAffichageStationHydro"
"1","A022020001","A0220200","L'Augraben à Hégenheim","STD","1993-01-25 00:00:00+01",NA,"26",1040359,6727986,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"2","A022065001","A0220650","Le ruisseau le Liesbach à Blotzheim","STD","1993-01-25 00:00:00+01","1996-04-12 12:00:00+02","26",1038650,6730460,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"3","A023010001","A0220570","[Le Liesbach] à Saint-Louis [Langenhaeuser]","STD","1993-04-02 00:00:00+02","1996-04-12 12:00:00+02","26",1041333,6732404,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"4","A023020001","A0230201","Le ruisseau l'Augraben à Saint-Louis [Michelfelden]","STD","1993-02-04 00:00:00+01","1996-04-12 12:00:00+02","26",1042215,6731721,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"5","A023020101","A0230200","Le ruisseau l'Augraben à Bartenheim [La Chaussée]","STD","1993-01-11 00:00:00+01","1997-10-14 16:00:00+02","26",1038775,6736213,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"6","A024000101",NA,"[bassin contre coulées de boues] à Helfrantzkirch","H","2007-01-01 00:00:00+01",NA,"26",1030654,6731792,"Conseil Général du Haut-Rhin","HydroPortail"
"7","A026000101",NA,"[bassin contre coulées de boues] à Steinbrunn-le-Haut","H","2007-01-01 00:00:00+01",NA,"26",1025319,6737724,"Conseil Général du Haut-Rhin","HydroPortail"
"8","A026000201",NA,"Le ruisseau Weiherbachgraben [bassin contre coulées de boues] à Landser","H","2007-01-01 00:00:00+01",NA,"26",1028092,6740588,"Conseil Général du Haut-Rhin","HydroPortail"
"9","A034002201","A0340020","Le canal du Rhône au Rhin à Sausheim","STD","1997-12-09 00:00:00+01","2001-10-31 12:00:00+01","26",1029454,6752438,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"10","A034030201","A0340300","Le canal d'irrigation de la Hardt à Hombourg","STD","1998-04-06 00:00:00+02","2001-10-31 14:30:00+01","26",1035523,6749337,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"11","A034030301",NA,"Le canal du Rhône au Rhin [canal dit ""déclassé""] à Hirtzfelden","STD","2007-01-01 00:00:00+01",NA,"26",1033300,6764916,"Conseil Général du Haut-Rhin","HydroPortail"
"12","A034030401",NA,"Le canal du Rhône au Rhin [canal dit ""déclassé""] à Obersaasheim","STD","2007-01-01 00:00:00+01",NA,"26",1036589,6775370,"Conseil Général du Haut-Rhin","HydroPortail"
"13","A041030001","A0410300","Le ruisseau le Muhlbach de Schoenau à Schœnau [Ried]","STD","2004-07-08 00:00:00+02",NA,"26",1044986.4133483,6801429.4587658,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"14","A041030101","A0410301","Le ruisseau le Muhlbach de Schoenau à Baltzenheim","STD","2007-07-16 00:00:00+02","2019-03-20 00:00:00+01","26",1039098,6787213,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"15","A043030001","A0430310","Le ruisseau l'Ischert à Sundhouse","STD","2004-03-25 00:00:00+01","2006-07-08 00:00:00+02","26",1044866,6806406,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"16","A052033001","A0430311","Le ruisseau le Neuergraben à Diebolsheim","STD","2005-03-30 00:00:00+02","2017-09-08 00:00:00+02","26",1045871,6809037,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"17","A052034001","A0520033","Le ruisseau le Neuergraben à Boofzheim","STD","2005-04-07 00:00:00+02","2015-06-22 13:36:00+02","26",1047767,6813262,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"18","A052055001","A0530310","Le ruisseau Istergraben à Friesenheim","STD","2004-10-20 00:00:00+02","2009-06-01 00:00:00+02","26",1046568,6811381,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
