"","nosta","codehydro","nom","courdo","xlambert","ylambert","pk","bv","type","nogest","module","qrefetiage","qix2","qix5","qix10","mnemo","comment","datemaj","typemes","cotedebordement","coteseuil","nomcommune","inseecommune","ngfechelle","dateenregistrement","datecreation","codehydro3","codesitehydro3","synchronisation","region"
"30",11,"A2420210","ZEMBS À ERSTEIN-KRAFFT-SUCRERIE","ZEMBS",996.042,2392.288,994.75,NA,"S",115680,NA,NA,NA,NA,NA,"A2420210","


Altitude 152.5m
Altitude du zéro de l'échelle: 148.98 NGF
(Altitude fournie par le SGAL)
Echelle située dans l'enceinte de la Sucrerie.

Nouvelle échelle installée le 22 août 2001 en amont du pont de la D426.( pas nivelée)

Appareil MONOPHENE GSM installé le 27 avril 2004
Marque : ALCYR, Christian BURGER;  18, allée des Fauvettes, 92 160 ANTHONY/ Tel: 01 40 96 91 21 fax: 01 40 96 91 24
Fabricant : ELECTOSTRUCTURE; 14 rue de la Gare, 77 163 MORTCERF/ Tel: 01 64 65 26 13 Fax: 01 64 65 26 14

sonde KELLER N° 2077 ; 20 M ; amplitude 0 - 4mA
cabine GROLLEAU N° 00313A11TM045 série 9 année 01/12/2003

SECURITE:
L'accès et l'arrêt à la station est aisé, elle se situe en face de l'entrée de la sucrerie.


RECOMMANDATIONS:
Jaugeage au moulinet: Attention à la descente du talus: risque de glissade entrainant la chute dans la rivière.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage ADCP / STREAM PRO: pas possible","05/10/05 00:00:00",0,NA,NA,"",NA,NA,"11/20/23 11:35:00","","A242020001","A2420200",NA,"67"
"82",123,"A0530750","OBENHEIM-ALTWEIL","ALTWEIL",996.202,2387.89,NA,NA,"S",115680,NA,NA,NA,NA,NA,"A0530750","





Station de mesures installée le 06 Mai 2004.
Lieu: en aval du pont de la D468 (entre Obenheim et Gerstheim) sur l'Altweil, en rive droite.
Cabine GROLLEAU N°313A11TM045 du 01/12/2003.
Monopheme N°
Marque : ALCYR, Christian BURGER;  18, allée des Fauvettes, 92 160 ANTHONY/ Tel: 01 40 96 91 21 fax: 01 40 96 91 24
Fabricant : ELECTOSTRUCTURE; 14 rue de la Gare, 77 163 MORTCERF/ Tel: 01 64 65 26 13 Fax: 01 64 65 26 14


Sonde KELLER 2076 (0-4mA) 20m.
Echelle (1 m.) installée le 06 Mai 2004.

SECURITE:
Accès à la station:
La route est fréquentée, la prudence doit être redoublée au droit de la station pour se garer sur l'accotement .

Jaugeage au moulinet:
Hormis la descente du talus aucune difficulté particulière, la section est régulière.

Jaugeage au saumon:
Une grande prudence est nécessaire, car il y a empiètement sur la quasi moitié de la chausséeet la visibilité pour les véhicules venant de Gerstheim réduite à cet endroit.

Jaugeage  ADCP / STREAM PRO:
Réalisable.


RECOMMANDATIONS:
Jaugeage au MOULINET: Attention à la descente du talus: risque de glissade entrainant la chute dans la rivière.
Jaugeage au SAUMON  : Mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage ADCP           :  Revêtir les EPI.
                       
GP
","08/10/05 00:00:00",0,NA,NA,"",NA,NA,"02/04/16 14:00:00","","A053074001","A0530740",NA,"67"
"226",123,"A0410301","BALTZENHEIM","Muhlbach ou Grünngiessen",NA,NA,NA,NA,"S",115680,NA,NA,NA,NA,NA,"BALTZENHEI","Nivellé par DREAL (MD et SL le 26/07/2011)","04/11/16 08:52:00",0,NA,NA,"",NA,18141,"04/11/16 08:52:00","","A041030101","A0410301",NA,"68"
"240",13,"K1341810","RIGNY/ARROUX","Arroux",730160,2171860,NA,2277,"S",430450,27.2,1.22,248,338,398,"K1341810","Mise à jour Débits caractéristiques le 15/04/2025","12/26/00 00:00:00",0,NA,NA,"",NA,NA,"04/15/25 16:01:00","","K134181001","K1341810",1,"Loire"
"241",14,"K1773010","VERNEUIL","Aron",694500,2206520,NA,1465,"S",430450,17.5,1.13,186,236,269,"K1773010"," Mise à jour Débits caractéristiques le 16/04/2025","12/26/00 00:00:00",0,NA,NA,"",NA,NA,"04/16/25 11:34:00","","K177301001","K1773010",1,"Loire"
"252",32,"K6492510","SELLES ST ANDRE [HS]","La Sauldre",539180,2254880,NA,2254,"S",430450,14.8,1.69,87.5,121,143,"K6492510","Station influencée par les crues du Cher à partir de 350 m3/s

Débits caractéristiques mis à jour le 16/04/2025","03/10/00 00:00:00",0,NA,NA,"",NA,NA,"04/16/25 17:03:00","","K649251001","K6492510",1,"Loire"
"253",33,"K6500910","CHÂTILLON-SUR-CHER","Le Cher",585.686,6686.625,NA,11540,"S",430450,71.9,7.49,398,555,658,"K6500910","Cette station est située sur la commune de Châtillon sur Cher (41) dans le bâtiment attenant à l'ancienne maison éclusière en aval de l'écluse direction Meusnes.
Contrôle: seuil naturel-Equipement : PLQ 2000- 9600BD Téléphone: 02.54.71.54.40
Temps de propagation moyen entre Selles-Thizardière et Chatillon -> 2h 

Mise à jour débits caractéristiques le 23/04/2025.
","12/23/15 11:41:00",0,NA,NA,"",NA,6947,"04/23/25 09:51:00","01/01/93 00:00:00","K650091001","K6500910",1,"Loire"
"267",75,"K6710910","TOURS [PONT SAINT SAUVEUR]","Le Cher",524.8,6699.493,NA,13615,"S",430450,81.5,9.19,421,591,704,"K6710910","Cette station est située sur la ville de Tours (31) au Pont St Sauveur, boulevard Louis XI,  qui relie Tours à Joué les Tours. 
Contrôle: Radier naturel.- Equipement : PLQ 2000- 2400 BD Téléphone: 02.47.37.97.04
La station peut être influençée par un ouvrage en aval. Au grands moulins de Ballan, une vanne régule la lame d'eau sur le déversoir. Mr Piaumier tél 02 47 53 00 15, employé du moulin, manoeuvre cette vanne deux par an. Il existe donc deux positions une, estivale et l'autre hivernale.
L'observation de l'environnement proche de la station laisse penser qu'une influence de la végétaion aquatique dans le lit sur les hauteurs enregistrées est possible.

Mise à jour débits caractéristiques le 23/04/2025.

","12/23/15 11:41:00",0,NA,NA,"",NA,4254,"04/23/25 09:53:00","","K671091001","K6710910",1,"Loire"
"284",103,"K0910010","VILLEREST","LOIRE",780645,6545250,NA,6603,"S",430450,65.5,12.9,593,940,1170,"K0910010","Mise à jour des débits caractéristiques le 02/05/2025","11/14/97 00:00:00",0,NA,NA,"",NA,26851,"05/02/25 15:31:00","","K091001010","K0910010",NA,"Loire"
"286",106,"K2090810","SAINT HAON ( NOUVEAU MONDE","ALLIER",758741,6415789,NA,517,"S",430450,11.6,3.2,200,350,440,"K2090810","","11/14/97 00:00:00",0,NA,NA,"",NA,73332,"12/17/15 14:11:00","","K209081001","K2090810",NA,"Loire"
