"","nosta","codehydro","nom","courdo","xlambert","ylambert","pk","bv","type","nogest","module","qrefetiage","qix2","qix5","qix10","mnemo","comment","datemaj","typemes","cotedebordement","coteseuil","nomcommune","inseecommune","ngfechelle","dateenregistrement","datecreation","codehydro3","codesitehydro3","synchronisation","region"
"1",1,"A3792010","BEINHEIM","la Sauer",1020.447,2444.379,NA,530,"S",115680,3.75,1.03,19,26,30,"A3792010","
observations depuis le 26/10/64
zéro de l'échelle :renivelée le 22/06/1982 = 111.89 NGF rive gauche, puis renivelé le 23 juillet 2002 par géomètre expert Pierre-André BORD:=112.277
Adresse: pont de la Sauer à 1000 m env. du 60, rue principale
67930-BEINHEIM
Propriétaire du terrain : la commune de BEINHEIM
plan cadastral: section  ; parcelle 296 

appareil d'acquisition sur site installé le 23 octobre 2001.
Marque OTT: type NIMBUS n° 149987; MIDI n°166668.
La station a été modernisée en 2007 avec CPL + lpn/8 +modem waevcom
Tel : 06 77 07 81 61 

Jaugeages au saumon effectués à partir de 3 m au pont de la RN 63; LAMBERT X=1020-560;Y=1145-220

Responsable et gestionnaire de la station: Stephane LAPINE

SECURITE
L'accès de la station de mesure ce fait par un chemin de terre, il est relativement carrossable sauf par temps enneigé. Par temps humide il est également difficile de faire demi-tour car il y a un risque d'enlisement.
Le lieu est isolé et n'est fréquenté que par des chasseurs ou des paysans.
Echelle LIMNIMETRIQUE:
L'accès à l'échelle est difficile ainsi qu'au lit de la rivière.
Jaugeage au MOULINET:
Les jaugeages à gué se font  sans risques si la hauteur à l'échelle limnimétrique ne dépasse pas  120cm.
Jaugeage au SAUMON et au stream pro ADCP:
En cas de crue le pont de la station peut être innondé en conséquence,  la mesure au saumon se fait au niveau du village à l'intersection avec le pont de la RN 63.
Dans ce cas il faut mettre en oeuvre les feux spéciaux du camion et porter les vêtements à haute visibilité classe 3 ou 2.
Jaugeage ADCP/STREAM PRO:
En eau moyenne, le jaugeage est possible sans danger avec le stream pro.

RECOMMANDATIONS:
Nettoyage de l'échelle LIMNIMETRIQUE: Une perche telescopique munie d'une brosse est souhaitable.
Pour éviter la glissade et la chute, il serait souhaitable pour sécuriser l' accès à l'échelle et au lit, d'équiper la station d'un escalier en béton ou d'un autre support adapté au terrain.
Jaugeage au MOULINET: pour accéder à la rivière, il y a risque de chute en cas de glissade sur le talus.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage STREAM PRO, mettre les EPI.

GP
","05/12/05 00:00:00",10,NA,NA,"",NA,NA,"07/06/23 16:12:00","","A369011001","A3690110",NA,"67"
"2",2,"A2702010","SAULXURES","la Bruche",956.612,2389.293,NA,39,"S",115680,0.939,0.19,8,11,13,"A2702010","observations depuis le 01/09/1965
arrêtée le 08/01/2001
zéro de l'échelle jusqu'au 01/08/199 5: 425.015 m NGF
nouvelle échelle = pas nivelée
Adresse : rte de Senone(N424) première maison à droite 67420- SAINT BLAISE LA ROCHE

Historique des gestionnaire, si différent de DIREN Alsace : NON

Buts- vocation station : ..

---
EMPLACEMENT ET METHODES DE JAUGEAGE : en amont du pont et de l'emplacement de l'échelle limnimétrique.
(la dernière méthode utilisée) moulinet avec perche pirée

Etiage : moulinet c31

Eaux basses : moulinet c31

Eaux moyennes : adcp stream pro

Crues : saumon ; ADCP rio grande possible

---
---
ANALYSE QUALITE COURBES TARAGE : 
---
Jaug en crue ? OUI
Jaug étiage ? OUI
Jaug moyen ? OUI

T du jaug maxi (gumbel) : N.R.
T du jaug mini (débits classés) : N.R.
Incertitudes ? Habituelles (5%)

Courbe de tarage stable ? Non

Géométrie lit stable ? Non
Causes changement courbe ? Modifications progressives ( phénomènes lents d'alluvionnement)

EN CRUE :
Débordement en lit majeur ? non
Totalité débit mesuré ? oui
si non, estimation partie dérivée ?
Si débordement, cote de débordement ?
si oui, comment est prise en compte cela dans courbe ?

Présence ouvrage influençant écoulement et comment ? pendant une époque les pêcheurs alimentés leur étang en agissant une vanne situé à 50 m en aval de la station.

Existe t il un contrôle aval ? N.R.

Extrapolation courbe :
Quelle méthode employée ? depuis 1995 tracé assisté par le logiciel BAREME
Qualité globale de la partie extrapolée de la courbe ? bonne

EN ETIAGE :
Ecoulements influencés par des rejets ? non.

Gêne de l'écoulement par de la végétation, ou autre ? non.

Présence ouvrage influençant écoulement et comment ? N.R.

Existe t il un contrôle aval ? Non

Bilan sur Hydro : bon

Qualité des débits selon les années ? N.R.du 13 septembre 1965 à aujourd'hui il y a 457 jaugeages qui ont éét réalisés

Qualité des débits par gamme de débit ? N.R.

Etudes antérieures ayant étudié la qualité des courbes de tarage , réf ? N.R.
","10/18/99 00:00:00",10,NA,NA,"",NA,NA,"02/04/25 16:28:00","","A270011001","A2700110",NA,"67"
"3",3,"A3151010","SCHWEIGHOUSE AMONT","moder",995.945,2438.879,NA,282,"S",115680,2.47,0.98,22,32,39,"A3151010","observations depuis le11/08/67
zéro de l'échelle = 146.416 NGF
Adresse:Tennis Club, rue des Sports
67590- SCHWEIGHOUSE
","10/18/99 00:00:00",10,NA,NA,"",NA,NA,"02/04/25 16:29:00","","A315010001","A3150100",NA,"67"
"4",4,"A3301010","SCHWEIGHOUSE (AVAL)","La Moder",996.839,2438.573,953.2,622,"S",115680,5.58,2.38,44,65,79,"A3301010","Coordonnées LAMBERT Zone II étendu.
Plan cadastral: section 53, parcelle: 32. Propriétaire: Association foncière de remembrement (Mairie de Schweighouse).
Station ""ANNONCE DE CRUE"".
Observations depuis le 11/05/1966
Adresse: Station d'épuration 67590 SCHWEIGHOUSE
gestionnaire: Guillaume PHILIPPS

zéro de l'échelle = 143.904 NGF
Echelle limnimétrique: 3 m.
CR2M/SAB 600 - HDL N° 5984 (en attente sur le site)
Sonde
Abri: Type ""OTT R16"".
ALCYR: CYR 2/GSM n° 020111
Abri: GROLLEAU + panneau solaire
Depuis septembre 2006 la station est équipée pour l'AC par le matériel CPL PARATRONIC avec un capteur intelligent hydrologic type LPN/8 + moden RTC N°03 88 72 60 66.
Jaugeage de crue au saumon sur le pond de la D85.

SECURITE
L'accès de la station de mesure ce fait par un chemin de terre, il est relativement carrossable sauf par temps enneigé. Par temps humide il est également difficile de faire demi-tour car il y a un risque d'enlisement, par forte crue le chemin qui mène à la station peut-être innondée.

Jaugeage au MOULINET:
Les jaugeages à gué se font  sans risques spécifiques. 

Jaugeage au SAUMON
A partir du pont situé sur la D85, le danger est rél sur ce pont à grande circulation.

Jaugeage ADCP/STREAM PRO
A partir du pont situé sur la D85.


RECOMMANDATIONS:
Jaugeage au moulinet: pour accéder à la rivière, il y a risque de chute en cas de glissade sur le talus.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage STREAM PRO, revêtir les EPI.

Le TELEPHERIQUE SERVANT à RéALISER LES JAUGEAGES MOYENs a été en partie détrits en décembre 2010.","05/10/05 00:00:00",0,NA,NA,"",NA,NA,"07/06/23 16:19:00","","A330010001","A3300100",NA,"67"
"6",6,"A0042300","KALTENHOUSE","MODER",NA,NA,NA,679,"S",115680,NA,NA,NA,NA,NA,"A0042300","","12/24/98 00:00:00",NA,NA,NA,"",NA,NA,"02/04/25 16:20:00","","A331010001","A3310100",NA,"67"
"13",14,"A3782110","LEUTENHEIM","EBERBACH",1016.135,2441.95,996.25,190,"S",115680,NA,NA,NA,NA,NA,"0045500","LONGUEUR cours d'eau 45,83 km

adresse: pont du chemin vers le lieu-dit : HEIDENBERG
67480-LEUTENHEIM
installation d'un appareil d'acquisition sur site le 19 juin 2006; type MONOPHENE GSM: N° 06 75 00 91 25
sonde endress+hauser ; model WATERPILOT; L=20m / série N° 5C02600108E; amplitude 0-4mA;
cabine GROLLEAU 00 313AIITM045 série10; décembre 2003

zéro de l'échelle: 115.465 NGF69 nivelé le 23/07/2002
rive gauche ; aval pont

mise en service le 11/09/2002 10h00

Gestionnaire: Guillaume PHILIPPS

SECURITE:
Accès à la station:
Se fait sans difficulté par un chemin de terre bien carrossable, il n'y a pas de problème pour se garer.

Jaugeage au moulinet:
Hormis la descente du talus aucune difficulté particulière, la section est régulière.

Jaugeage au saumon:
Le camion ferme quasiment le pont, mais il y a très peu de passage à cet endroit surtout en hiver et il n'y a pratiquement aucun danger de circulation.

Jaugeage  ADCP / STREAM PRO:
Sans aucun problème.

RECOMMANDATIONS:
Jaugeage au MOULINET: Attention à la descente du talus: risque de glissade entrainant la chute dans la rivière.
Jaugeage au SAUMON  : Mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage ADCP           :  Revêtir les EPI.","05/09/05 00:00:00",10,NA,NA,"",NA,NA,"02/04/16 13:45:00","","A368021001","A3680210",NA,"67"
"15",16,"A2260320","STRASBOURG MONTAGNE-VERTE","ILL",997.33,111.03,975.35,4368,"S",115680,NA,NA,NA,NA,NA,"A2260320","","02/16/01 00:00:00",NA,NA,NA,"",NA,NA,"11/23/22 11:15:00","","A226032002","A2260320",NA,"67"
"17",18,"A3501010","DRUSENHEIM","MODER",1012.22,1133.12,979.43,1552,"S",115680,NA,NA,NA,NA,NA,"A3501010","
adresse:passerelle de la MODER
67410- DRUSENHEIM
plan cadastrale: section 6; parcelle 304; propriétaire du terrain : la commune de DRUSENHEIM

Zéro de l'échelle: 119.406 NGF69 nivelée le 23/07/2002 ; rive droite

ALCYR: CYR2 V23 N° 011012 installée le 13/11/2002
MODEM RTC TEL: 03 88 53 43 38 
PARAFOUDRE type:

sonde paratronnic:2912-4
pleine échelle 4m L= 15m Température de réglage 14°
COURANT 4-20 
Station modernisée en 2007: CPL + LPN/8 + MODEM ETIC TEL: 03 88 53 43 38 

Jaugeages au saumon effectués sur le pont de la D 468; LAMBERT X = 1012-170 ; Y =1133-120

Responsable et gestionnaire de la station: Guillaume PHILIPPS

SECURITE:
Le véhicule se gare sans danger sur la rampe d'accés des canoës.
L'accès à la station ne pose pas de problème.

Jaugeage au moulinet:
Pas de problèmes spécifiques la section est relativement régulière.

Jaugeage au saumon:
Possible à partir du pont de la D468 situé en amont de la station.

Jaugeage avec le STREAM-PRO méthode ADCP.
Possible à partir de la passerelle.

RECOMMANDATIONS:
Jaugeage au moulinet: pour accéder à la rivière, il y a risque de chute en cas de glissade sur le talus.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage STREAM PRO sans dangers spécifiques à partir de la passerelle.

","05/06/05 00:00:00",10,NA,NA,"",NA,NA,"02/04/16 13:54:00","","A350010001","A3500100",NA,"67"
"22",26,"A3422010","SAVERNE","La Zorn",967.333,2425.943,932.5,185,"S",115680,2.27,0.75,19,28,34,"A3422010","Plan cadastral SAVERNE SECTION 25 ; 1/2000

observations depuis le 24/10/1966
zéro de l'échelle = 189.515 NGF

appareil de mesure CR2M TYPE600/HDL
STATION équipée en ligne éléctrique et téléphone pour l 'AC depuis le 2000
N° Teléphone: 03 88 91 38 17

Gestionnaire Guillaume PHILIPPS
Depuis septembre 2006 la station est équipée pour l'AC par le matériel CPL PARATRONIC avec un capteur intelligent hydrologic type LPN/8 + moden RTC N° 03 88 91 38 17.								


SECURITE
L'accès à la station de mesure ne pose pas de difficulté, le véhicule est garé sur le bas côté mais gêne le croisement des véhicules sur cette route trés fréquentée où la circulation sur cette portion en ligne droite est rapide  .

Jaugeages au MOULINET:
Pas de difficultés, la section est régulière.

Jaugeage au SAUMON:
Sans risques à partir de la passerelle 

Jaugeage ADCP/stream pro
Sans risques à partir de la passerelle

RECOMMANDATIONS:
Jaugeage au MOULINET: pour accéder à la rivière, il y a risque de chute en cas de glissade sur le talus.
Jaugeage au SAUMON: S'assurer de la solidité de la passerelle: ( elle a été rénovée en 2000 )
Jaugeage ADCP/STREAM PRO: revêtir les EPI.
","05/20/05 00:00:00",0,NA,NA,"",NA,NA,"02/04/16 13:57:00","","A341020001","A3410200",NA,"67"
"23",27,"A2250310","OHNHEIM","ill",996592,2401370,960.78,167,"S",115680,37.8,27,52,56,58,"A2250310","Coordonnes LAMBERT Zone II étendu.
latitude : N 48°29'20"" E 7°42'14''
Observations depuis le 20/10/75
Adresse: 16, route du Général DE GAULLE  67640 FEGERSHEIM-OHNHEIM

zéro de l'échelle = 141.63 NGF
Echelle limnimétrique: 2 m. (1970, DDAF67).","05/12/05 00:00:00",10,NA,NA,"",NA,NA,"10/04/19 15:43:00","","A243003001","A2430030",NA,"67"
