cdentite;dtmesure;hauteur;qualh;methh;conth;statuth;debit;qualq;methq;contq;statutq
A226020001;2013-01-01 00:01:00;1744;20;10;0;12;21759;20;10;0;12
A226020001;2013-01-01 01:36:00;1739;20;10;0;12;21675;20;10;0;12
A226020001;2013-01-01 11:06:00;1704;20;10;0;12;21088;20;10;0;12
A226020001;2013-01-01 19:31:00;1655;20;10;0;12;20243;20;10;0;12
A226020001;2013-01-03 12:00:00;1503;20;10;0;12;17260;20;10;0;12
A226020001;2013-01-04 19:41:00;1321;20;10;0;12;13689;20;10;0;12
A226020001;2013-01-05 21:36:00;1179;20;10;0;12;11984;20;10;0;12
A226020001;2013-01-06 09:16:00;1124;20;10;0;12;11437;20;10;0;12
A226020001;2013-01-07 02:56:00;1059;20;10;0;12;10789;20;10;0;12
A226020001;2013-01-07 23:21:00;973;20;10;0;12;9933;20;10;0;12
A226020001;2013-01-08 21:21:00;916;20;10;0;12;9365;20;10;0;12
A226020001;2013-01-09 22:31:00;861;20;10;0;12;8817;20;10;0;12
A226020001;2013-01-10 12:21:00;857;20;10;0;12;8777;20;10;0;12
A226020001;2013-01-10 16:41:00;864;20;10;0;12;8847;20;10;0;12
A226020001;2013-01-11 05:21:00;838;20;10;0;12;8588;20;10;0;12
A226020001;2013-01-11 10:51:00;836;20;10;0;12;8568;20;10;0;12
A226020001;2013-01-11 22:20:00;859;20;10;0;12;8797;20;10;0;12
A226020001;2013-01-12 03:31:00;903;20;10;0;12;9235;20;10;0;12
A226020001;2013-01-12 08:50:00;935;20;10;0;12;9554;20;10;0;12
A226020001;2013-01-12 17:20:00;902;20;10;0;12;9225;20;10;0;12
A226020001;2013-01-13 01:40:00;862;20;10;0;12;8827;20;10;0;12
A226020001;2013-01-13 19:20:00;800;20;10;0;12;8210;20;10;0;12
A226020001;2013-01-14 11:10:00;770;20;10;0;12;7911;20;10;0;12
A226020001;2013-01-15 12:31:00;737;20;10;0;12;7582;20;10;0;12
A226020001;2013-01-16 11:11:00;692;20;10;0;12;7134;20;10;0;12
A226020001;2013-01-16 13:21:00;653;20;10;0;12;6745;20;10;0;12
A226020001;2013-01-17 01:41:00;625;20;10;0;12;6466;20;10;0;12
A226020001;2013-01-17 12:31:00;611;20;10;0;12;6327;20;10;0;12
A226020001;2013-01-19 07:01:00;578;20;10;0;12;5998;20;10;0;12
A226020001;2013-01-21 07:31:00;597;20;10;0;12;6188;20;10;0;12
A226020001;2013-01-23 04:01:00;602;20;10;0;12;6237;20;10;0;12
A226020001;2013-01-27 04:31:00;528;20;10;0;12;5495;20;10;0;12
A226020001;2013-01-28 10:51:00;530;20;10;0;12;5516;20;10;0;12
A226020001;2013-01-29 00:41:00;558;20;10;0;12;5799;20;10;0;12
