cdentite;dtmesure;hauteur;qualh;methh;conth;statuth;debit;qualq;methq;contq;statutq
K209081001;2015-01-01 00:01:00;702;20;10;0;12;9340;20;10;0;12
K209081001;2015-01-01 01:25:00;698;20;10;0;12;9206;20;10;0;12
K209081001;2015-01-01 08:55:00;696;20;10;0;12;9139;20;10;0;12
K209081001;2015-01-01 11:20:00;688;20;10;0;12;8874;20;10;0;12
K209081001;2015-01-01 11:50:00;702;20;10;0;12;9340;20;10;0;12
K209081001;2015-01-01 12:15:00;703;20;10;0;12;9374;20;10;0;12
K209081001;2015-01-01 13:25:00;696;20;10;0;12;9139;20;10;0;12
K209081001;2015-01-01 15:10:00;703;20;10;0;12;9374;20;10;0;12
K209081001;2015-01-01 18:00:00;695;20;10;0;12;9105;20;10;0;12
K209081001;2015-01-01 20:30:00;694;20;10;0;12;9072;20;10;0;12
K209081001;2015-01-02 03:35:00;700;20;10;0;12;9273;20;10;0;12
K209081001;2015-01-02 08:35:00;691;20;10;0;12;8973;20;10;0;12
K209081001;2015-01-02 10:00:00;692;20;10;0;12;9006;20;10;0;12
K209081001;2015-01-02 16:35:00;675;20;10;0;12;8452;20;10;0;12
K209081001;2015-01-03 00:06:00;679;20;10;0;12;8581;20;10;0;12
K209081001;2015-01-03 07:45:00;683;20;10;0;12;8710;20;10;0;12
K209081001;2015-01-03 15:30:00;692;20;10;0;12;9006;20;10;0;12
K209081001;2015-01-03 19:35:00;700;20;10;0;12;9273;20;10;0;12
K209081001;2015-01-03 23:50:00;716;20;10;0;12;9821;20;10;0;12
K209081001;2015-01-04 07:50:00;712;20;10;0;12;9682;20;10;0;12
K209081001;2015-01-04 09:20:00;705;20;10;0;12;9442;20;10;0;12
K209081001;2015-01-04 14:45:00;712;20;10;0;12;9682;20;10;0;12
K209081001;2015-01-04 20:22:00;703;20;10;0;12;9374;20;10;0;12
K209081001;2015-01-05 00:00:00;694;20;10;0;12;9072;20;10;0;12
K209081001;2015-01-05 00:15:00;696;20;10;0;12;9139;20;10;0;12
K209081001;2015-01-05 02:15:00;691;20;10;0;12;8973;20;10;0;12
K209081001;2015-01-05 02:50:00;693;20;10;0;12;9039;20;10;0;12
K209081001;2015-01-05 04:40:00;689;20;10;0;12;8907;20;10;0;12
K209081001;2015-01-05 08:30:00;684;20;10;0;12;8743;20;10;0;12
K209081001;2015-01-05 09:50:00;684;20;10;0;12;8743;20;10;0;12
K209081001;2015-01-05 11:20:00;684;20;10;0;12;8743;20;10;0;12
K209081001;2015-01-05 12:30:00;683;20;10;0;12;8710;20;10;0;12
K209081001;2015-01-05 14:05:00;678;20;10;0;12;8548;20;10;0;12
K209081001;2015-01-05 16:05:00;674;20;10;0;12;8420;20;10;0;12
K209081001;2015-01-05 21:35:00;670;20;10;0;12;8293;20;10;0;12
K209081001;2015-01-06 06:10:00;670;20;10;0;12;8293;20;10;0;12
K209081001;2015-01-06 07:50:00;666;20;10;0;12;8167;20;10;0;12
K209081001;2015-01-06 12:00:00;660;20;10;0;12;7980;20;10;0;12
K209081001;2015-01-06 13:40:00;654;20;10;0;12;7796;20;10;0;12
K209081001;2015-01-06 15:05:00;656;20;10;0;12;7857;20;10;0;12
K209081001;2015-01-06 18:20:00;652;20;10;0;12;7735;20;10;0;12
K209081001;2015-01-07 02:00:00;651;20;10;0;12;7704;20;10;0;12
K209081001;2015-01-07 06:10:00;645;20;10;0;12;7524;20;10;0;12
K209081001;2015-01-07 07:30:00;645;20;10;0;12;7524;20;10;0;12
K209081001;2015-01-07 09:25:00;645;20;10;0;12;7524;20;10;0;12
K209081001;2015-01-07 11:30:00;648;20;10;0;12;7614;20;10;0;12
K209081001;2015-01-07 12:35:00;644;20;10;0;12;7494;20;10;0;12
K209081001;2015-01-07 19:00:00;640;20;10;0;12;7375;20;10;0;12
K209081001;2015-01-08 03:15:00;640;20;10;0;12;7375;20;10;0;12
K209081001;2015-01-08 10:40:00;638;20;10;0;12;7316;20;10;0;12
K209081001;2015-01-08 11:40:00;641;20;10;0;12;7404;20;10;0;12
K209081001;2015-01-08 14:00:00;637;20;10;0;12;7286;20;10;0;12
K209081001;2015-01-08 17:50:00;636;20;10;0;12;7257;20;10;0;12
K209081001;2015-01-09 00:00:00;635;20;10;0;12;7227;20;10;0;12
K209081001;2015-01-09 08:30:00;633;20;10;0;12;7169;20;10;0;12
K209081001;2015-01-09 09:46:00;630;20;10;0;12;7082;20;10;0;12
K209081001;2015-01-09 12:15:00;629;20;10;0;12;7053;20;10;0;12
K209081001;2015-01-09 14:00:00;624;20;10;0;12;6909;20;10;0;12
K209081001;2015-01-09 14:20:00;628;20;10;0;12;7024;20;10;0;12
K209081001;2015-01-09 14:50:00;630;20;10;0;12;7082;20;10;0;12
K209081001;2015-01-09 15:25:00;626;20;10;0;12;6967;20;10;0;12
K209081001;2015-01-09 19:30:00;623;20;10;0;12;6881;20;10;0;12
K209081001;2015-01-10 00:40:00;625;20;10;0;12;6938;20;10;0;12
K209081001;2015-01-10 08:15:00;624;20;10;0;12;6909;20;10;0;12
K209081001;2015-01-10 11:50:00;628;20;10;0;12;7024;20;10;0;12
K209081001;2015-01-10 15:00:00;622;20;10;0;12;6852;20;10;0;12
